왠지,웬지
웬일,왠일
이따가,있다가
할게,할께
로서,로써
로써,로서
금세,금새
나름,나름대로
떡볶이,떡볶기
찌개,찌게곱
메밀,모밀
다달이,달달이
곱빼기,곱배기
설거지,설겆이
바람,바램
창피,챙피
곰곰이,곰곰히
웃어른,윗어른
부조금,부주금
케이크,케익
메시지,메세지
로봇,로보트
링거,링게르
액세서리,악세서리
성대모사,성대묘사
방방곡곡,방방곳곳
주스,쥬스
스펀지,스폰지
카펫,카페트
코메디,코미디
파이팅,화이팅
사이렌,싸이렌
레이더,레이다
앙케트,앙케이트
콩트,꽁트
테이프,테입
에어컨,에어콘
알코올,알콜
데이터,데이타
플래시,플래 쉬
카센터,카센타
할리우드,헐리우드
가스레인지,가스렌지
셔벗,샤베트
슈퍼마켓,수퍼마켓
팡파르,팡파레
한창,한참
움큼,웅큼
눈곱,눈꼽
구레나룻,구렛나루
십상,쉽상
괜스레,괜시리
자투리,짜투리
해코지,해꼬지
빈털터리,빈털털이
며칠,몇일
맛보기,맛배기
수놈,숫놈
승낙,승락
후유증,휴유증
결제,결재
결재,결제
재떨이,재털이
새침데기,새침떼기
마니아,매니아
워크숍,워크샵
리더십,리더쉽
캐럴,캐롤
원상복구,원상복귀
동고동락,동거동락
내로라하는,내노라하는
경신,갱신
갱신,경신
일체,일절
일절,일체
곤혹,곤욕
곤욕,곤혹
방증,반증
반증,방증
숙맥,쑥맥
눈살,눈쌀
사달,사단
가시오갈피,가시오가피
뱃멀미,배멀미
만반,만발
파투,파토
괄시,괄세
깍듯이,깎듯이
뇌졸중,뇌졸증
천생,천상
갈가리,갈갈이
별의별,별에별
엉겁결,엉겹결
플래카드,플랭카드
내레이션,나레이션
야반도주,야밤도주
일사불란,일사분란
천정부지,천장부지
환골탈태,환골탈퇴
얘들,애들
축하,추카
톱배우,탑배우
연예인,연애인
무난하게,문안하게
로서,로써
로써,로서
어떡하지,어떻하지
장아찌,짱아찌
아등바등,아둥바둥
할는지,할런지
되레,되려
막냇동생,막내동생
며칠,몇일
든지,던지
던지,든지
아기,애기
칧흙,찰흙
휴게실,휴계실
생뚱,쌩뚱
